Year,Value,UNIT_MEASURE,SERIES
2014,5.9,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2015,6.1,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2016,6.7,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2017,6.7,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2018,7.4,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2019,7.1,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2020,7.0,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2021,7.3,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2022,7.2,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2023,6.9,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2024,6.8,Milion tona ekvivalenta nafte,Primarna potrošnja energije
2014,1.55,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2015,1.66,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2016,1.9,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2017,1.91,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2018,2.11,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2022,2.09,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2023,2.0,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
2024,2.0,Tone ekvivalenta nafte (TOE) po glavi stanovnika,Primarna potrošnja energije
