Indicator,Disaggregations,Number of disaggregations
#1-20,"INCOME_WEALTH_QUANTILE, SOC_TRANSFER",2
#10-10,INDIC_PPP,1
#10-41,PT_SH_INCOM_HH,1
#12-51,HAZARD_WASTE,1
#13-40,STATINFO,1
#15-42,STATINFO,1
#16-70,SEX,1
#2-10,Body_Mass_Index,1
#3-30,"AGE, SEX",2
#4-10,"AGE, SEX, Labour_force_and_employment_status",3
#4-20,"AGE, SEX, EDUCATION_LEV",3
#4-60,"AGE, SEX",2
#4-70,"AGE, SEX, Type_of_skill",3
#5-30,"AGE, Labour_force_and_employment_status",2
#5-40,"AGE, SEX, Reason",3
#5-50,"SEX, ORG_INST",2
#5-61,"SEX, PROF_POS",2
#6-20,WW_TP,1
#6-60,STATINFO,1
#7-40,Energy_balance,1
#7-50,Standard_international_energy_product_ classification,1
#8-20,"AGE, SEX",2
#8-30,"AGE, SEX",2
#8-40,"AGE, SEX",2
#9-10,SECTPERF,1
#9-30,"SEX, SECTPERF",2
#9-40,COOP_PTN,1
