Year,SERIES,Пол,UNIT_MEASURE,Value
2000,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,65.6
2010,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,66.9
2015,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,66.9
2016,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,67.0
2017,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,67.1
2018,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,67.2
2019,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,67.0
2020,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,65.9
2021,Здраве године живота засноване на самоопажању здравља,Оба пола,Година,65.0
2000,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,63.9
2010,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,65.3
2015,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,65.5
2016,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,65.6
2017,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,65.8
2018,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,65.8
2019,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,65.7
2020,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,64.4
2021,Здраве године живота засноване на самоопажању здравља,Мушкарци,Година,63.9
2000,Здраве године живота засноване на самоопажању здравља,Жене,Година,67.1
2010,Здраве године живота засноване на самоопажању здравља,Жене,Година,68.3
2015,Здраве године живота засноване на самоопажању здравља,Жене,Година,68.2
2016,Здраве године живота засноване на самоопажању здравља,Жене,Година,68.0
2017,Здраве године живота засноване на самоопажању здравља,Жене,Година,68.0
2018,Здраве године живота засноване на самоопажању здравља,Жене,Година,69.0
2019,Здраве године живота засноване на самоопажању здравља,Жене,Година,68.0
2020,Здраве године живота засноване на самоопажању здравља,Жене,Година,67.4
2021,Здраве године живота засноване на самоопажању здравља,Жене,Година,66.1
