Year,SERIES,Сектор учинка,UNIT_MEASURE,Value
2019,sdg_09_10,Сви сектори,PC_BDP,0.19
2020,sdg_09_10,Сви сектори,PC_BDP,0.2
2021,sdg_09_10,Сви сектори,PC_BDP,0.19
2022,sdg_09_10,Сви сектори,PC_BDP,0.19
2023,sdg_09_10,Сви сектори,PC_BDP,0.18
2024,sdg_09_10,Сви сектори,PC_BDP,0.2
2019,sdg_09_10,Сектор предузећа,PC_BDP,0.07
2020,sdg_09_10,Сектор предузећа,PC_BDP,0.08
2021,sdg_09_10,Сектор предузећа,PC_BDP,0.07
2029,sdg_09_10,Владини сектор,PC_BDP,0.01
2020,sdg_09_10,Владини сектор,PC_BDP,0.01
2021,sdg_09_10,Владини сектор,PC_BDP,0.01
2019,sdg_09_10,Сектор високог образовања,PC_BDP,0.11
2020,sdg_09_10,Сектор високог образовања,PC_BDP,0.11
2021,sdg_09_10,Сектор високог образовања,PC_BDP,0.11
2022,sdg_09_10,Сектор високог образовања,PC_BDP,0.11
2023,sdg_09_10,Сектор високог образовања,PC_BDP,0.1
2024,sdg_09_10,Сектор високог образовања,PC_BDP,0.11
2019,sdg_09_10,Приватни непрофитни сектор,PC_BDP,0.0
2020,sdg_09_10,Приватни непрофитни сектор,PC_BDP,0.0
2021,sdg_09_10,Приватни непрофитни сектор,PC_BDP,0.0
