Year,SERIES,Reason,Age,Sex,UNIT_MEASURE,Value
2021,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of total population,0.3
2022,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of total population,0.3
2023,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of total population,0.3
2024,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of total population,0.2
2025,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of total population,0.2
2021,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of total population,0.6
2022,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of total population,0.7
2023,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of total population,0.6
2024,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of total population,0.3
2025,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of total population,0.3
2021,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of population outside the labour force and wanting to work,9.6
2022,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of population outside the labour force and wanting to work,10.2
2023,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of population outside the labour force and wanting to work,9.8
2024,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of population outside the labour force and wanting to work,5.9
2025,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Both sexes,Percentage of population outside the labour force and wanting to work,6.2
2021,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of population outside the labour force and wanting to work,14.9
2022,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of population outside the labour force and wanting to work,16.2
2023,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of population outside the labour force and wanting to work,15.9
2024,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of population outside the labour force and wanting to work,9.5
2025,Persons outside the labour force due to caring responsibilities by sex,Care of adults with disabilities or children,20 to 64 years old,Female,Percentage of population outside the labour force and wanting to work,9.2
