Year,Value,UNIT_MEASURE,SERIES
2014,5.9,Million tonnes of oil equivalent,Primary energy consumption
2015,6.1,Million tonnes of oil equivalent,Primary energy consumption
2016,6.7,Million tonnes of oil equivalent,Primary energy consumption
2017,6.7,Million tonnes of oil equivalent,Primary energy consumption
2018,7.4,Million tonnes of oil equivalent,Primary energy consumption
2019,7.1,Million tonnes of oil equivalent,Primary energy consumption
2020,7.0,Million tonnes of oil equivalent,Primary energy consumption
2021,7.3,Million tonnes of oil equivalent,Primary energy consumption
2022,7.2,Million tonnes of oil equivalent,Primary energy consumption
2023,6.9,Million tonnes of oil equivalent,Primary energy consumption
2024,6.8,Million tonnes of oil equivalent,Primary energy consumption
2014,1.55,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2015,1.66,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2016,1.9,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2017,1.91,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2018,2.11,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2022,2.09,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2023,2.0,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2024,2.0,Tonnes of oil equivalent (TOE) per capita,Primary energy consumption
2014,3.1,Million tonnes of oil equivalent,Final energy consumption
2015,3.3,Million tonnes of oil equivalent,Final energy consumption
2016,3.6,Million tonnes of oil equivalent,Final energy consumption
2017,3.5,Million tonnes of oil equivalent,Final energy consumption
2018,4.2,Million tonnes of oil equivalent,Final energy consumption
2019,4.2,Million tonnes of oil equivalent,Final energy consumption
2020,4.0,Million tonnes of oil equivalent,Final energy consumption
2021,4.3,Million tonnes of oil equivalent,Final energy consumption
2022,4.3,Million tonnes of oil equivalent,Final energy consumption
2023,4.2,Million tonnes of oil equivalent,Final energy consumption
2024,4.4,Million tonnes of oil equivalent,Final energy consumption
2014,0.81,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2015,0.9,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2016,1.01,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2017,1.0,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2018,1.21,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2022,1.25,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2023,1.22,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
2024,1.28,Tonnes of oil equivalent (TOE) per capita,Final energy consumption
