Year,Value,UNIT_MEASURE,SERIES
2014,5.9,Million tonnes of oil equivalent,sdg_ 07_10
2015,6.1,Million tonnes of oil equivalent,sdg_ 07_10
2016,6.7,Million tonnes of oil equivalent,sdg_ 07_10
2017,6.7,Million tonnes of oil equivalent,sdg_ 07_10
2018,7.4,Million tonnes of oil equivalent,sdg_ 07_10
2019,7.1,Million tonnes of oil equivalent,sdg_ 07_10
2020,7.0,Million tonnes of oil equivalent,sdg_ 07_10
2021,7.3,Million tonnes of oil equivalent,sdg_ 07_10
2022,7.2,Million tonnes of oil equivalent,sdg_ 07_10
2023,6.9,Million tonnes of oil equivalent,sdg_ 07_10
2024,6.8,Million tonnes of oil equivalent,sdg_ 07_10
2014,1.55,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2015,1.66,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2016,1.9,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2017,1.91,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2018,2.11,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2022,2.09,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2023,2.0,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
2024,2.0,Tonnes of oil equivalent (TOE) per capita,sdg_ 07_10
