Year,SERIES,UNIT_MEASURE,Value
2010,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.2
2011,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.24
2012,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.21
2013,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.32
2014,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.37
2015,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.57
2016,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.73
2017,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",4.89
2018,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",5.09
2019,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",5.24
2020,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",5.11
2021,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",5.52
2022,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",5.79
2023,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",5.92
2024,Realni BDP po glavi stanovnika,"Lančano povezani obimi (2020), euro po glavi stanovnika",6.13
2011,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",1.0
2012,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",-0.7
2013,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",2.5
2014,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",1.3
2015,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",4.5
2016,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",3.4
2017,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",3.5
2018,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",4.1
2019,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",3.0
2020,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",-2.6
2021,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",8.1
2022,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",4.8
2023,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",2.4
2024,Realni BDP po glavi stanovnika,"Lančano povezani obimi, procentualna promjena u odnosu na prethodni period, po glavi stanovnika",3.5
